pe_id,start_ns,end_ns,label
0,0.0,8114.0,Island (16)
0,8114.0,8538.0,Island (1)
1,0.0,9572.0,Island (16)
2,0.0,14614.0,Island (16)
3,0.0,8456.0,Island (2)
3,8456.0,8794.0,Island (1)
