pe_id,start_ns,end_ns,label
0,0.0,12850.0,MERGED (32)
0,12850.0,13188.0,Island (1)
1,0.0,12850.0,MERGED (32)
1,12850.0,13398.0,Island (1)
2,0.0,15972.0,MERGED (18)
3,0.0,15972.0,MERGED (18)
