start_ns,end_ns,bytes,node_count,reason
0.0,5170.0,16384,32,"MERGED Island(32) PEs(0,1)"
5170.0,8100.0,9216,18,"MERGED Island(18) PEs(2,3)"
12850.0,13060.0,512,1,Island(1) PE0
13060.0,13270.0,512,1,Island(1) PE1
