config_name,pe_sram_bytes,feature_dim,total_time_ns,total_dram_traffic_bytes,fragmentation_penalty_time_ns,fragmentation_penalty_bytes,islands_created,cut_edges,pe_utilization_percent
Baseline I-GCN (Rigid c_max),16384,128,89554.0,193024,53130.0,129536,4,253,28.261160863836345
Enhanced I-GCN (Adaptive),16384,128,65764.0,63488,0.0,0,2,83,73.783528982422
