config_name,pe_sram_bytes,feature_dim,total_time_ns,total_dram_traffic_bytes,fragmentation_penalty_time_ns,fragmentation_penalty_bytes,islands_created,cut_edges,pe_utilization_percent
Baseline I-GCN (Rigid c_max),32768,128,350126.0,691712,227430.0,554496,5,1083,13.443660282298373
Enhanced I-GCN (Adaptive),32768,128,220388.0,137216,0.0,0,3,631,41.34174728206618
