config_name,pe_sram_bytes,feature_dim,total_time_ns,total_dram_traffic_bytes,fragmentation_penalty_time_ns,fragmentation_penalty_bytes,islands_created,cut_edges,pe_utilization_percent
Baseline I-GCN (Rigid c_max),32768,128,343254.0,685568,224910.0,548352,5,1071,13.391176796191742
Enhanced I-GCN (Adaptive),32768,128,212324.0,137216,0.0,0,3,629,41.69865394397242
