config_name,pe_sram_bytes,feature_dim,total_time_ns,total_dram_traffic_bytes,fragmentation_penalty_time_ns,fragmentation_penalty_bytes,islands_created,cut_edges,pe_utilization_percent
Baseline I-GCN (Rigid c_max),8192,64,52160.0,96256,32760.0,64512,4,252,24.90222392638037
Enhanced I-GCN (Adaptive),8192,64,33572.0,31744,0.0,0,2,83,73.90384844513285
