config_name,pe_sram_bytes,feature_dim,total_time_ns,total_dram_traffic_bytes,fragmentation_penalty_time_ns,fragmentation_penalty_bytes,islands_created,cut_edges,pe_utilization_percent
Baseline I-GCN (Rigid c_max),32768,128,340514.0,680448,222810.0,543232,5,1061,13.668087068373106
Enhanced I-GCN (Adaptive),32768,128,213348.0,137216,0.0,0,3,633,41.86598890076307
