config_name,pe_sram_bytes,feature_dim,total_time_ns,total_dram_traffic_bytes,fragmentation_penalty_time_ns,fragmentation_penalty_bytes,islands_created,cut_edges,pe_utilization_percent
Baseline I-GCN (Rigid c_max),8192,64,52832.0,100352,34840.0,68608,4,268,24.343201090248336
Enhanced I-GCN (Adaptive),8192,64,33956.0,31744,0.0,0,2,83,73.82200494757922
