config_name,pe_sram_bytes,feature_dim,total_time_ns,total_dram_traffic_bytes,fragmentation_penalty_time_ns,fragmentation_penalty_bytes,islands_created,cut_edges,pe_utilization_percent
Baseline I-GCN (Rigid c_max),16384,128,91520.0,192512,52920.0,129024,4,252,28.248470279720276
Enhanced I-GCN (Adaptive),16384,128,67044.0,63488,0.0,0,2,83,73.9022134717499
