config_name,pe_sram_bytes,feature_dim,total_time_ns,total_dram_traffic_bytes,fragmentation_penalty_time_ns,fragmentation_penalty_bytes,islands_created,cut_edges,pe_utilization_percent
Baseline I-GCN (Rigid c_max),8192,64,51202.0,96512,32890.0,64768,4,253,24.836920432795594
Enhanced I-GCN (Adaptive),8192,64,32932.0,31744,0.0,0,2,83,73.78537592615085
