sram_kb,feature_dim,pe_count,seed,per_run_outdir,baseline_time_ns,enhanced_time_ns,speedup,baseline_dram_bytes,enhanced_dram_bytes,dram_reduction_pct,csv_used
8,64,4,1000,/home/kk/Desktop/Research/work/I-GCN/sweep_results/tmp_8_64_4_0,52160.0,33572.0,1.5536756821160491,96256.0,31744.0,67.02127659574468,/home/kk/Desktop/Research/work/I-GCN/sweep_results/tmp_8_64_4_0/simulation_results.csv
8,64,4,1001,/home/kk/Desktop/Research/work/I-GCN/sweep_results/tmp_8_64_4_1,52832.0,33956.0,1.555895865237366,100352.0,31744.0,68.36734693877551,/home/kk/Desktop/Research/work/I-GCN/sweep_results/tmp_8_64_4_1/simulation_results.csv
8,64,4,1002,/home/kk/Desktop/Research/work/I-GCN/sweep_results/tmp_8_64_4_2,51202.0,32932.0,1.5547795457305964,96512.0,31744.0,67.10875331564988,/home/kk/Desktop/Research/work/I-GCN/sweep_results/tmp_8_64_4_2/simulation_results.csv
16,128,4,1000,/home/kk/Desktop/Research/work/I-GCN/sweep_results/tmp_16_128_4_0,91520.0,67044.0,1.3650736829544776,192512.0,63488.0,67.02127659574468,/home/kk/Desktop/Research/work/I-GCN/sweep_results/tmp_16_128_4_0/simulation_results.csv
16,128,4,1001,/home/kk/Desktop/Research/work/I-GCN/sweep_results/tmp_16_128_4_1,92064.0,67812.0,1.357635816669616,200704.0,63488.0,68.36734693877551,/home/kk/Desktop/Research/work/I-GCN/sweep_results/tmp_16_128_4_1/simulation_results.csv
16,128,4,1002,/home/kk/Desktop/Research/work/I-GCN/sweep_results/tmp_16_128_4_2,89554.0,65764.0,1.3617480688522596,193024.0,63488.0,67.10875331564988,/home/kk/Desktop/Research/work/I-GCN/sweep_results/tmp_16_128_4_2/simulation_results.csv
32,128,8,1000,/home/kk/Desktop/Research/work/I-GCN/sweep_results/tmp_32_128_8_0,340514.0,213348.0,1.5960496465867973,680448.0,137216.0,79.83446200150489,/home/kk/Desktop/Research/work/I-GCN/sweep_results/tmp_32_128_8_0/simulation_results.csv
32,128,8,1001,/home/kk/Desktop/Research/work/I-GCN/sweep_results/tmp_32_128_8_1,350126.0,220388.0,1.5886799644263754,691712.0,137216.0,80.16284233900815,/home/kk/Desktop/Research/work/I-GCN/sweep_results/tmp_32_128_8_1/simulation_results.csv
32,128,8,1002,/home/kk/Desktop/Research/work/I-GCN/sweep_results/tmp_32_128_8_2,343254.0,212324.0,1.6166519093460936,685568.0,137216.0,79.9850634802091,/home/kk/Desktop/Research/work/I-GCN/sweep_results/tmp_32_128_8_2/simulation_results.csv
